seed,adjacency,head,loss,best_epoch,validation_macro_auroc,test_macro_auroc,test_micro_auroc
48,none,concat,W-BCE,14,0.706693342196873,0.7087453771501201,0.7566338303159389
48,asymmetric,concat,W-BCE,14,0.7088090402748993,0.6882050645184252,0.7380635427760028
48,symmetric,concat,W-BCE,35,0.7124411117427618,0.6781807677412336,0.7611878607396889
48,none,concat,W-ASL-g2,37,0.6936810252505707,0.6411520538682617,0.7571761724450755
48,asymmetric,concat,W-ASL-g2,43,0.6796893357766655,0.6425388966049291,0.7574777475380953
48,symmetric,concat,W-ASL-g2,12,0.6811020264844695,0.696870214898707,0.7327017512720387
48,none,concat,W-ASL-g3,31,0.6854355462040495,0.650695606764848,0.7487887692449282
48,asymmetric,concat,W-ASL-g3,49,0.6759915114210232,0.6540747840048698,0.7642110072443761
48,symmetric,concat,W-ASL-g3,12,0.6763798542804711,0.7070492779630314,0.7383585440250332
49,none,dot,W-BCE,27,0.691559606117745,0.6857988882864857,0.757628124219356
49,asymmetric,dot,W-BCE,7,0.6894210860438102,0.6941622419082251,0.687193494523988
49,symmetric,dot,W-BCE,10,0.6773295288939299,0.6916865206175555,0.6792087392681997
49,none,dot,W-ASL-g2,34,0.6855550643192673,0.6753488954836683,0.7634624107600679
49,asymmetric,dot,W-ASL-g2,6,0.6728110338944848,0.671902313738331,0.678839782274287
49,symmetric,dot,W-ASL-g2,8,0.6806707251653661,0.6921971723084569,0.6837229157627631
49,none,dot,W-ASL-g3,27,0.6811071707534607,0.665846366968412,0.7448198109362469
49,asymmetric,dot,W-ASL-g3,40,0.683827630276061,0.657653054690659,0.728289469359313
49,symmetric,dot,W-ASL-g3,23,0.680520449729169,0.6668908627697775,0.6829048830513154
49,none,concat,W-BCE,20,0.7036563930141678,0.6936730686518482,0.7642077203223813
49,asymmetric,concat,W-BCE,15,0.689880973305894,0.7016705970993006,0.7370059756241865
49,symmetric,concat,W-BCE,31,0.6926453516408619,0.6927905285790237,0.7585994096688097
49,none,concat,W-ASL-g2,19,0.7095016196229045,0.6907791993891093,0.757421458998935
49,asymmetric,concat,W-ASL-g2,11,0.6843520933692059,0.6868009606532502,0.7151750614654413
49,symmetric,concat,W-ASL-g2,41,0.6924700609423206,0.6496279354667823,0.760654557646038
49,none,concat,W-ASL-g3,19,0.7129182813414797,0.6811598998468434,0.7552483926951444
49,asymmetric,concat,W-ASL-g3,11,0.6757562829578322,0.6933592220180617,0.7139843739728369
49,symmetric,concat,W-ASL-g3,11,0.672653845967028,0.6767328186095831,0.7143484005837573
50,none,dot,W-BCE,25,0.7007708190496134,0.7056937373231374,0.7575114384885417
50,asymmetric,dot,W-BCE,8,0.7014464099138439,0.707779725554324,0.7044917432519491
50,symmetric,dot,W-BCE,13,0.690029121129947,0.7062977701048857,0.6933503102854364
50,none,dot,W-ASL-g2,30,0.6852654094055154,0.6810866266615297,0.7528604438659463
