model,repeat,macro_auroc,micro_auroc,macro_auprc,brier,ece_10,macro_f1_0_5
BR-CatBoost,4,0.6510682234652119,0.7132919345508093,0.17651759990972674,0.17646423939357767,0.3208700940871351,0.20937931706188814
BR-CatBoost,5,0.6596853056170411,0.7096033506882815,0.19128756649958312,0.18419239215789457,0.33452100318363237,0.22254958156408858
ECC-LightGBM,1,0.6609761387453595,0.7785217397020735,0.18580574135959563,0.06409003649578145,0.027559427030597227,0.07815955917629262
ECC-LightGBM,2,0.6699408122709465,0.7816886561748116,0.18590340950076079,0.06408245688554222,0.02829793569322819,0.07496078890724832
ECC-LightGBM,3,0.6570508665275562,0.7778776673371989,0.18139686248108944,0.06419791426263975,0.028285806169074754,0.08119976908186743
ECC-LightGBM,4,0.6603233653312756,0.7813918799879042,0.18630678759077743,0.06384858601903043,0.02652373472290845,0.0768046104194156
ECC-LightGBM,5,0.6718019103183458,0.7822743856742791,0.18715149100102665,0.06423198082692262,0.028356683023465414,0.07773962235004532
LP-RF,1,0.6977004863550745,0.7875245861765208,0.19341708345301997,0.06386614495699573,0.021772171793803682,0.0371715487814559
LP-RF,2,0.7005034339620627,0.7896058323143875,0.19710522317865584,0.06369879571261611,0.02260514199986337,0.04080352188398689
LP-RF,3,0.7012162266605086,0.7876823255630497,0.1954042220160205,0.06368045957153311,0.023424138505909877,0.03838602508774149
LP-RF,4,0.6915865723933182,0.786740622411549,0.18844639037475439,0.06372492342819802,0.022517859711827886,0.03858518613351541
LP-RF,5,0.7057262348648741,0.7896076072522648,0.19651687108382357,0.06357495614854972,0.023082418341062907,0.0411432175209265
RAkEL-RF,1,0.6982070461915848,0.789075355973652,0.20309687360151454,0.06347390172264324,0.020003852430882915,0.04411881977671452
RAkEL-RF,2,0.6863350658668493,0.7872271526052144,0.19567463092489168,0.06355105776483924,0.01814383480222753,0.04516530745516121
RAkEL-RF,3,0.6887436849729988,0.7867371054050145,0.19125141940029178,0.06351748605160223,0.01880155865519795,0.04495726495726495
RAkEL-RF,4,0.6953313203939492,0.7876521187499178,0.19132347208391456,0.06340591032526435,0.019366267160595713,0.04691268235095708
RAkEL-RF,5,0.7001347447757187,0.7912085683482559,0.20174210955775118,0.0631144274797219,0.020047714236091203,0.0476460578559274
Shared-MLP,1,0.6856686969842275,0.7378604767351662,0.17224637638302784,0.1777511848324852,0.2907289230514753,0.21834406026036465
Shared-MLP,2,0.6925200184154116,0.7420567914382257,0.17783222731330708,0.17419621266823296,0.28387397949272725,0.21863734797878412
